word,zh,en_sentence,zh_sentence
difficult,困難的,This math problem is difficult.,這道數學題很困難。
as,作為；依照,She works as a volunteer on weekends.,她週末作為志工工作。
own,自己的,I have my own desk at home.,我在家裡有自己的書桌。
true,真實的,Is this story true?,這個故事是真的嗎？
sea,海,We swim in the sea during summer vacation.,暑假我們在海裡游泳。
welcome,歡迎,Welcome to our classroom!,歡迎來到我們的教室！
proud,驕傲的,I am proud of my little brother.,我為我的弟弟感到驕傲。
away,離…多遠,The school is two kilometers away.,學校離這裡兩公里遠。
will,將（助動詞）,I will help you with your homework.,我將幫你做作業。
camera,照相機,She uses a camera to take photos.,她用照相機拍照。
radio,廣播；收音機,He listens to the radio every morning.,他每天早上聽廣播。
machine,機器,The machine makes a loud noise.,那台機器發出很大的聲音。
tape,錄音帶,We play the tape in music class.,我們在音樂課播放錄音帶。
myself,我自己,I can do it myself.,我自己能做到。
yourself,你自己,Take care of yourself when you travel.,旅行時要照顧好你自己。
yourselves,你們自己,Be proud of yourselves!,為你們自己感到驕傲！
himself,他自己,He fixed the bike himself.,他自己修好了那輛自行車。
herself,她自己,She cooked dinner by herself.,她自己煮晚餐。
itself,它自己,The cat cleaned itself.,那隻貓自己清潔。
ourselves,我們自己,We built the treehouse ourselves.,我們自己搭建了樹屋。
themselves,他們自己,They painted the fence themselves.,他們自己粉刷了圍欄。
recorder,記錄器；錄音機,We listen to the recorder in music class.,我們在音樂課聽錄音機。
video,錄影帶,The teacher shows a video about history.,老師播放一段關於歷史的錄影帶。
price,價錢,What is the price of this book?,這本書的價錢是多少？
total,總計；全部的,The total cost is fifty dollars.,總計花費是五十元。
watermelon,西瓜,We eat watermelon in summer.,夏天我們吃西瓜。
papaya,木瓜,Papaya is sweet and delicious.,木瓜又甜又美味。
lemon,檸檬,Lemon juice is very sour.,檸檬汁非常酸。
guava,芭樂,Guava is green on the outside.,芭樂外皮是綠色的。
sir,先生（尊稱）,Excuse me, sir, where is the bus stop?,不好意思，先生，公車站在哪裡？
Dr.,博士；醫生,Dr. Lee helps patients feel better.,李醫生幫助病人感覺好一點。
neighbor,鄰居,My neighbor waters my plants when I'm away.,我不在時，我的鄰居會幫我澆花。
Easter,復活節,We hunt for eggs on Easter.,復活節我們去尋蛋。 
