word,zh,en_sentence,zh_sentence
screen,螢幕,The teacher shows the video on the screen.,老師在螢幕上播放影片。
puppy,幼犬,The puppy plays with a ball in the yard.,幼犬在院子裡玩球。
lid,蓋子,Put the lid on the jar after you finish.,用完後把蓋子蓋上罐子。
cage,籠子,The bird sings in its cage every morning.,那隻鳥每天早上在籠子裡唱歌。
sight,視力；景象,The mountain view is a beautiful sight.,那座山的景象非常美麗。
secretary,秘書,The secretary answers phone calls at the office.,秘書在辦公室接電話。
list,清單,Write a list of things you need to buy.,寫一張你需要購買物品的清單。
pair,一雙；一對,I bought a new pair of shoes today.,我今天買了一雙新鞋。
pin,大頭針；別針,Use a pin to attach the note to the board.,用大頭針把便條釘在板子上。
pipe,水管,The plumber fixed the broken pipe under the sink.,水電工修好了水槽下壞掉的水管。
medium,中等的,He likes his coffee at medium temperature.,他喜歡中等溫度的咖啡。
married,已婚的,My aunt is married to a doctor.,我的阿姨已婚，她的丈夫是一位醫生。
modern,現代的；時髦的,They live in a modern house with big windows.,他們住在一棟有大窗戶的現代房子裡。
foreign,外國的,She studies foreign languages at school.,她在學校學習外國語。
national,國家的,They fly the national flag at the town square.,他們在鎮廣場上升起國旗。
few,不多的；很少的,Only a few students stayed after class for help.,只有少數學生下課後留下來請教。
useful,實用的,This dictionary is very useful for learning new words.,這本字典對學習新單字非常實用。
helpful,有幫助的,The tutor gave me helpful tips for studying.,家教給了我一些有幫助的學習建議。
least,最少的,She finished her homework in the least amount of time.,她用最少的時間完成了作業。
blind,盲的,The blind student reads with a special device.,那位盲人學生用特殊設備閱讀。
tidy,整齊的；整理,Please tidy your desk before you leave.,離開前請整理好你的書桌。
believe,相信,I believe in working hard to achieve my goals.,我相信努力工作可以實現我的目標。
celebrate,慶祝,We celebrate Teacher's Day with a small party.,我們用小型派對慶祝教師節。
laugh,笑,They laugh at the funny joke during recess.,課間休息時他們因為那個好笑的笑話而笑。
lead,領導,She will lead the team in the next game.,她將在下一場比賽中領導球隊。
playground,遊樂場；運動場,We meet our friends at the playground after school.,放學後我們在遊樂場與朋友碰面。 
