word,zh,en_sentence,zh_sentence
paint,動畫圖；油漆,Please paint the wall blue.,請把牆壁漆成藍色。
bridge,橋樑,We walked across the bridge to get to the park.,我們走過橋樑到達公園。
airport,機場,They arrived at the airport early in the morning.,他們一大早就到達機場。
postcard,明信片,She sent a postcard from her vacation in Japan.,她從日本度假時寄了一張明信片。
stair,樓梯,He climbed the stair to reach his room.,他爬樓梯到他的房間。
hard-working,勤奮工作的,She is a hard-working student who studies every day.,她是一個每天都勤奮學習的學生。
clap,拍（手）,Please clap your hands for the singer.,請為歌手拍手。
serious,嚴肅的；認真的,He looks serious during the exam.,他在考試時表情很嚴肅。
simple,簡單的,This math problem is very simple.,這道數學題非常簡單。
cross,跨越,Cross the street at the crosswalk.,在斑馬線處過馬路。
enter,進入,Enter the classroom quietly.,輕聲地進入教室。
appear,出現,A rainbow will appear after the rain.,雨後會出現彩虹。
space,空位；太空,We need space to play basketball.,我們需要空間來打籃球。
lie,說謊；謊言,Don't lie to your parents.,不要對你的父母說謊。
shine,發光；照耀,The sun will shine tomorrow.,明天太陽會照耀。
pray,祈求；祈禱,We pray for our family's safety.,我們為家人的平安祈禱。
belong,屬於,That book belongs to me.,那本書屬於我。
build,建造；建立,They build a sandcastle on the beach.,他們在海灘上建造沙堡。
ever,曾經,Have you ever been to Tokyo?,你曾經去過東京嗎？
however,然而,However, it started to rain.,然而，開始下雨了。
almost,幾乎,I almost missed the bus.,我差點錯過公車。
finally,最後；終於,Finally, we finished the project.,最後我們終於完成了專案。
quite,相當地,She is quite good at singing.,她唱歌相當好。
whether,是否,I don't know whether it will rain.,我不知道是否會下雨。
stand,站住；攤子,Please stand in line.,請站隊。
except,除了,Everyone went except me.,除了我以外，所有人都去了。
club,社團,I joined the art club at school.,我加入了學校的美術社團。
chess,西洋棋,They play chess after class.,他們課後下西洋棋。
chalk,粉筆,Write on the board with chalk.,用粉筆在黑板上寫字。
newspaper,報紙,He reads the newspaper every morning.,他每天早上看報紙。
glue,膠水,Use glue to stick the pieces together.,用膠水把零件黏在一起。
hurry,匆忙；趕快,Hurry up or we will be late.,快一點，否則我們會遲到。
hobby,嗜好,My hobby is drawing.,我的嗜好是畫畫。
across,橫越；穿過,We walk across the bridge.,我們穿過那座橋。
vest,背心,He wears a vest in winter.,冬天他穿背心。
interest,興趣,I have an interest in science.,我對科學有興趣。
interested,感興趣的,She is interested in learning English.,她對學英語感興趣。
pleasure,快樂；喜悅,It is a pleasure to meet you.,很高興見到你。
business,事業,He works in his family's business.,他在家族事業工作。
salt,鹽,Add a pinch of salt to the soup.,在湯裡加一小撮鹽。
popcorn,爆米花,We eat popcorn at the movie theater.,我們在電影院吃爆米花。
bakery,麵包店,The bakery near my house sells fresh bread.,我家附近的麵包店賣新鮮麵包。
public,公眾；公共的,This is a public park.,這是一個公共公園。
truck,卡車,A truck delivers goods to the store.,卡車把貨物運到商店。
apartment,公寓,She lives in an apartment building.,她住在一棟公寓大樓裡。
heat,高溫；加熱,The heat in summer is uncomfortable.,夏天的高溫令人不舒服。
boss,老闆；上司,Her boss praised her work.,她的老闆讚揚了她的工作。
stranger,陌生人,Don't talk to strangers.,不要和陌生人說話。
meeting,會議,We have a meeting every Monday.,我們每個星期一都開會。
nod,點頭,She gave me a nod to say hello.,她向我點頭打招呼。
born,出生的；天生的,He was born in 2008.,他出生於2008年。
stupid,愚笨的,That was a stupid mistake.,那是一個愚笨的錯誤。
polite,有禮貌的,Be polite to your teachers.,對老師要有禮貌。
less,較少的,We have less homework today.,我們今天的作業比較少。
possible,可能的,Is it possible to finish early?,有可能提前完成嗎？
rich,富有的；豐富的,The rich man donated money to charity.,那位富有的人向慈善機構捐款。
brown,棕色(的),I have a brown backpack.,我有一個棕色的書包。
honest,誠實的,Be honest with your friends.,對朋友要誠實。
bake,烘焙,My mom will bake a cake for my birthday.,我媽媽會為我的生日烘焙蛋糕。
attack,攻擊,The cat tried to attack the mouse.,那隻貓想攻擊那隻老鼠。
lend,借出,Can you lend me your pencil?,你能借我你的鉛筆嗎？
borrow,借入,May I borrow your eraser?,我可以借你的橡皮擦嗎？ 
