word,zh,en_sentence,zh_sentence
safe,安全的,Always wear a helmet to stay safe when you ride a bike.,騎腳踏車時一定要戴安全帽才能保持安全。
sharp,鋒利的；劇烈的,Be careful with that knife; it is very sharp.,要小心那把刀，它非常鋒利。
lazy,懶散的,The lazy cat sleeps on the sofa all day.,那隻懶散的貓整天躺在沙發上睡覺。
glad,高興的,I am glad we won the game today.,我很高興我們今天贏得了比賽。
excellent,優秀的,She did an excellent job on her science project.,她在科學專題上做得很優秀。
over,結束；超過,The cat jumped over the wall to catch the bird.,那隻貓跳過牆壁去追那隻鳥。
pass,經過；通過,We pass the library on our way to school.,我們上學的路上會經過圖書館。
fail,不及格；失敗,If you don't study, you might fail the test.,如果你不讀書，你可能會考試不及格。
preparation,準備,Good preparation helped him do well in the contest.,良好的準備幫助他在比賽中表現優異。
cheat,作弊,Don't cheat on the exam; be honest.,考試時不要作弊，要誠實。
copy,抄寫；複製,Please copy the notes from the board into your notebook.,請把黑板上的筆記抄到你的筆記本裡。
blow,吹,Blow on the hot soup before you eat it.,在吃燙湯前先吹一下。
knock,敲；打,Knock gently on the door before you enter.,進屋前請輕輕敲門。
rise,上升；升起,The sun will rise at six o'clock tomorrow morning.,明天早上六點太陽會升起。
decide,決定,I need to decide which book to read first.,我需要決定先讀哪一本書。
notice,注意,Please notice the sign that says 'Keep Off the Grass.',請注意寫著『請勿踩踏草皮』的告示。
collect,收集,He likes to collect stamps from different countries.,他喜歡收集來自不同國家的郵票。
leave,離開；遺忘,Don't leave your umbrella at school when it rains.,下雨時不要把傘留在學校。
treat,款待；對待；處理,She will treat her friends to ice cream after school.,她放學後要請朋友們吃冰淇淋。
along,沿著,We walk along the river every weekend.,我們每個週末沿著河邊散步。
without,沒有,You cannot leave without a permission slip.,沒有請假單你不能離開。
inside,在…的裡面；在裡面,Please stay inside the classroom until the bell rings.,請待在教室裡面直到下課鈴響。
repeat,重複,Can you repeat the instructions so everyone can hear them?,你能重複一次指示，讓大家都能聽到嗎？
perhaps,或許,Perhaps we can go to the zoo this weekend.,或許我們這個週末可以去動物園。
if,如果；是否,Let me know if you need any help.,如果你需要幫助，請告訴我。
although,雖然,Although it was raining, they still played soccer.,雖然下雨，他們仍然踢足球。
hope,希望,I hope I can visit my grandparents during the holiday.,我希望假期期間可以去探望祖父母。
rule,規則；統治；裁決,The teacher explains the rules before we start the game.,老師在我們開始遊戲前說明規則。
wish,希望,I wish for good health for my family.,我希望我的家人健康平安。
dot,點點,Draw a dot at the end of each sentence.,在每個句子末尾畫一個點。
circle,圓圈,Please draw a circle around the correct answer.,請在正確的答案周圍畫一個圓圈。
shape,形狀；樣子,What shape is the sun in the drawing?,畫中太陽是什麼形狀？
size,尺寸,What size shoes do you wear?,你穿什麼尺寸的鞋？
square,正方形；廣場；正方形的,Draw a square on the paper and color it blue.,在紙上畫一個正方形並把它塗成藍色。
let,讓,Let me help you carry your backpack.,讓我幫你背書包。
yard,碼；庭院,They plant flowers in the front yard.,他們在前庭種花。
inch,英吋,Measure the length of the book in inches.,用英吋測量這本書的長度。
row,排；列,Please sit in a row during assembly.,請在集合時排成一列。
million,百萬,The population of the city is over one million.,這個城市的人口超過一百萬。
goose,鵝,A goose swam across the pond.,一隻鵝游過池塘。
bug,蟲子,I found a bug crawling on the window.,我發現一隻蟲子在窗戶上爬行。
hen,母雞,The hen laid five eggs this morning.,這隻母雞今天早上下了五顆蛋。
Halloween,萬聖節,We wear costumes and go trick-or-treating on Halloween.,萬聖節時我們穿上服裝去要糖果。
lantern,燈籠；提燈,Children carry lanterns during the mid‐autumn festival.,中秋節時孩子們提著燈籠。
ghost,鬼；靈魂,They told ghost stories around the campfire.,他們在營火旁講鬼故事。
mask,面具；口罩,He wore a mask at the school play.,他在校劇中戴著面具。
doorbell,門鈴,Ring the doorbell when you arrive at her house.,到她家時請按門鈴。
surprise,驚喜；(使)驚喜,They planned a surprise party for her birthday.,他們為她的生日策劃了一場驚喜派對。
experience,經驗；經歷,She shared her experience of traveling abroad.,她分享了出國旅行的經歷。
senior high school,高中,He will start senior high school next year.,他明年將開始讀高中。
joy,喜悅,She felt great joy when she saw her test score.,當她看到考試成績時感到非常喜悅。
oil,油,Add a little oil to the pan before cooking.,煮飯前先在鍋裡加一點油。
gas,瓦斯；汽油,We need to fill the car with gas before the trip.,旅行前我們需要把車加滿汽油。
top,頂部,She stood on the top of the hill and waved.,她站在山頂上揮手。
several,數個的,I have visited several countries in Asia.,我已經去過亞洲的數個國家。
real,真實的,Is this a real diamond or a fake?,這是真實的鑽石還是假的？
dangerous,危險的,It is dangerous to swim in the river after it rains.,雨後在河裡游泳很危險。
excited,感到興奮的,She was excited to go on the school trip.,她對校外教學感到很興奮。
exciting,令人興奮的,The roller coaster ride was very exciting.,過山車遊樂設施非常令人興奮。
scared,感到害怕的,He was scared when he saw the big dog.,看到那隻大狗時他感到很害怕。
bored,感到厭煩的,I get bored when there is nothing to do.,沒事做時我會感到厭煩。
homework,家庭作業,Please finish your homework before dinner.,請在晚餐前完成你的家庭作業。
surprised,感到驚訝的,She was surprised by the unexpected gift.,她對那份意外的禮物感到驚訝。
north,北方；向北,The wind is blowing from the north today.,今天風從北方吹來。
west,西方；向西,The sun sets in the west every evening.,太陽每天傍晚都在西方落下。
east,東方；向東,We saw a beautiful sunrise in the east.,我們在東方看到美麗的日出。
south,南方；向南,The river flows toward the south.,河流向南方流去。
grow,種植；發展,We grow tomatoes in our garden every summer.,我們每年夏天在花園裡種植番茄。
since,自從；因為,She has been happy since she got a new puppy.,自從她得到一隻新小狗後，她一直很開心。
traffic,交通,Traffic is heavy on this road during rush hour.,在尖峰時段這條路的交通很擁擠。
case,情況,In that case, we should leave early.,在那種情況下，我們應該早點離開。
gate,大門,Please wait for me at the school gate.,請在學校大門等我。
teenager,青少年,Many teenagers like to listen to pop music.,許多青少年喜歡聽流行音樂。
restroom,廁所,Where is the restroom in this building?,這棟建築物的廁所在哪裡？
uniform,制服,Students must wear their uniform to school every day.,學生每天都必須穿制服上學。 
