word,zh,en_sentence,zh_sentence
cut,切；傷口,Be careful not to cut your finger when you slice the bread.,當你切麵包時，小心別割到手指。
fill,裝滿,Please fill the water bottle before the hike.,請在健行前把水瓶裝滿。
pack,包；裝箱,I need to pack my clothes for the weekend trip.,我需要為週末旅行把衣服打包。
package,包裹；包裝,The delivery man dropped off a package at our door.,送貨員把一個包裹放在我們家門口。
air,空氣,Open the window to let fresh air into the room.,打開窗戶讓新鮮空氣進入房間。
smoke,菸；抽菸,The campfire started to smoke when the wind blew.,風一吹，營火就冒起了煙。
earth,地球,Astronauts study earth from space.,太空人從太空中研究地球。
plant,植物；種植,We plant flowers in the garden every spring.,我們每年春天在花園裡種花。
life,生活；生命,Watching the city lights makes me appreciate life.,看著城市的燈光讓我更珍惜生活。
light,燈光；光線；輕的,Turn on the light so we can see the path.,打開燈光，讓我們看清道路。
tub,缸；盆；桶,She filled the tub with soapy water to wash the dog.,她把盆子裝滿肥皂水來幫狗洗澡。
mat,踏墊；墊子,Wipe your feet on the mat before entering the house.,進屋前請先在踏墊上擦腳。
candle,蠟燭,They lit a candle at the head of the birthday cake.,他們在生日蛋糕前插上一根蠟燭並點燃。
lamp,檯燈,She turned on the lamp to read her book at night.,她晚上打開檯燈看書。
fire,火,The campers gathered around the fire to roast marshmallows.,露營者聚集在火邊烤棉花糖。
wind,風,The wind blew her hair as she walked by the sea.,當她在海邊散步時，風吹動了她的頭髮。
sky,天空,The sky turned pink and orange during sunset.,夕陽時，天空變成粉紅色和橙色。
rainbow,彩虹,We saw a rainbow after the rain stopped.,雨停後我們看到了一道彩虹。
yet,尚未；然而,I haven't finished my homework yet.,我尚未完成我的作業。
wave,波浪；海浪,The surfers rode the big wave at sunrise.,衝浪者在日出時騎著大浪。
rock,石頭,He skipped a rock across the pond.,他把一塊石頭在池塘上打水漂。
nature,大自然,We love exploring nature on our camping trips.,我們喜歡在露營旅行中探索大自然。
land,陸地；登陸,The plane will land in five minutes.,飛機將在五分鐘後降落。
pond,池塘,Ducks swim in the pond every morning.,鴨子每天早上在池塘裡游泳。
mud,泥巴,His shoes were covered in mud after the soccer game.,足球賽後，他的鞋子全是泥巴。
mountain,山,They hiked to the top of the mountain before dawn.,他們在破曉前爬上了那座山的山頂。
beach,海灘,We built a sandcastle on the beach yesterday.,我們昨天在海灘上堆了一座沙堡。
river,河流,The children played by the river on a sunny day.,孩子們在一個陽光明媚的日子裡在河邊玩耍。
lake,湖泊,They rented a boat on the lake for fishing.,他們在湖上租了一艘船去釣魚。
please,請；取悅,Please sit down and enjoy the show.,請坐下，欣賞表演。
chance,機會,I want to get a chance to perform in the school play.,我想得到機會在校園劇中表演。
prize,獎品,She won a prize for her drawing in the contest.,她在比賽中因畫作獲得獎品。
moment,時刻,Wait a moment, I need to tie my shoe.,等一下，我需要綁鞋帶。
giant,巨人；巨大的,In the fairy tale, a giant guards the castle.,在童話裡，一個巨人守護著城堡。
mile,英里,They ran five miles in the marathon.,他們在馬拉松中跑了五英里。
mad,生氣的；瘋狂的,He was so mad when he lost the game.,當他輸掉比賽時，他非常生氣。
lonely,孤獨的,She felt lonely after moving to a new city.,搬到新城市後，她感到很孤獨。
unhappy,不快樂的,He was unhappy because he missed the bus.,因為他錯過了公車，他感到不快樂。
shy,害羞的,She is too shy to speak in front of the class.,她太害羞，無法在全班面前講話。
ice,冰,The pond froze and turned to ice overnight.,池塘一夜之間結冰變成冰面。
loud,大聲的；吵鬧的,The music was so loud that we had to cover our ears.,音樂非常大聲，我們不得不用手捂住耳朵。
strange,奇怪的,It felt strange to walk in the dark forest.,在黑暗的森林中行走讓人感到奇怪。
both,兩者,Both of my sisters play piano.,我的兩個妹妹都會彈鋼琴。
bright,明亮的,The room is bright thanks to the large windows.,由於有大窗戶，這間房間很明亮。
convenient,便利的,Living near the station is very convenient.,住在車站附近非常便利。
fix,修理；確定,He learned how to fix his bike after it broke.,自行車壞了之後，他學會了如何修理。
choose,選擇,Choose a book you like for silent reading time.,在安靜閱讀時間，選擇一本你喜歡的書。
fact,事實,It's a fact that plants need sunlight to grow.,植物需要陽光才能生長，這是一個事實。
cry,哭；大叫,Babies often cry when they are hungry.,嬰兒餓了時常常會哭。
smile,微笑,Her smile brightened everyone's day.,她的微笑讓大家的心情都變好了。 
